,source,cluster,x,y
505,abbynews.com,8,1.4272,-42.358000000000004
506,wmac-am.com,13,-3.7448,46.318999999999996
507,townsvillebulletin.com.au,9,10.466,-21.498
508,starjournal.net,8,1.3637,-40.875
509,courant.com,1,-6.5301,1.2332
510,independent.co.uk,0,0.67102,-7.2646
511,local12.com,18,6.362,9.1296
512,leaderpost.com,17,-0.60642,-33.481
513,clickondetroit.com,16,11.259,40.942
514,theeagle.com,1,-24.491999999999997,4.061
515,wyff4.com,16,7.9983,40.242
516,westerlynews.ca,8,1.662,-42.261
517,ptinews.com,3,20.012,-3.3239
518,pqbnews.com,8,0.1919,-41.537
519,siouxlandmatters.com,16,10.886,38.448
520,ahram.org.eg,2,14.46,-11.306
521,bignewsnetwork.com,15,32.955999999999996,-2.8144
522,madison.com,1,-22.962,10.949000000000002
523,vernonmorningstar.com,8,1.4975,-39.858000000000004
524,localsyr.com,16,8.7944,38.335
525,spokanepublicradio.org,20,33.475,-31.276
526,fltimes.com,1,-26.031999999999996,4.8501
527,publicradiotulsa.org,20,32.978,-31.351999999999997
528,abc7news.com,4,30.565,20.377
529,campbellrivermirror.com,8,1.0659,-41.162
530,irishexaminer.com,11,0.12425,-15.456
531,yourerie.com,16,10.456,37.819
532,1049maxcountry.com,4,30.32,18.465
533,click2houston.com,16,11.567,40.169000000000004
534,westernslopenow.com,16,9.9392,39.036
535,iraqsun.com,15,32.805,-1.6087
536,idahopress.com,1,-16.676,0.34285
537,ksla.com,5,-20.439,-17.673
538,aldergrovestar.com,8,1.6125,-39.565
539,katu.com,18,6.952000000000001,15.777999999999999
540,langleytimes.com,8,1.9801,-42.06399999999999
541,cbs12.com,18,3.7969,11.49
542,kneb.com,4,30.664,19.096
543,foxcarolina.com,5,-21.522,-17.586
544,dothanfirst.com,16,10.116,38.675
545,singaporestar.com,15,31.588,-1.7261
546,timesofisrael.com,2,15.017999999999999,-13.065
547,news4jax.com,16,11.792,39.516999999999996
548,kesq.com,16,9.7692,40.988
549,agassizharrisonobserver.com,8,1.9216,-40.149
550,ozarksfirst.com,16,11.311,37.171
551,ksmu.org,20,34.144,-31.151999999999997
552,wwlp.com,1,-11.694,-5.1541
553,timesofoman.com,2,11.115,-6.3704
554,tristatehomepage.com,16,10.472000000000001,38.169000000000004
555,mycentraloregon.com,4,30.811,18.319000000000003
556,wicc600.com,13,-3.3635,46.20399999999999
557,thenownewspaper.com,8,2.6439,-42.083999999999996
558,1290wlby.com,13,-4.8517,45.75
559,mytwintiers.com,16,9.6799,38.55
560,wjsu.org,20,34.959,-32.181
561,nwahomepage.com,16,9.3297,38.82
562,sookenewsmirror.com,8,2.3446,-40.83
563,wlos.com,18,6.4464,9.8521
564,windsorstar.com,17,-0.60926,-33.49
565,wprl.org,20,34.803000000000004,-32.785
566,today.ng,2,16.982,-12.922
567,fox13memphis.com,6,-22.041,-5.7657
568,local21news.com,18,7.2984,10.7
569,nepalnational.com,15,32.251999999999995,-2.1608
570,missioncityrecord.com,8,2.2591,-41.873000000000005
571,wutc.org,20,34.126,-31.569000000000003
572,pahomepage.com,16,10.4,37.158
573,theglobeandmail.com,8,1.0983,-38.071999999999996
574,npr.org,20,31.096,-30.641
575,BBC Monitoring,2,18.291,-12.957
576,mondaymag.com,8,0.9056799999999999,-42.163999999999994
577,breakingnews.ie,11,0.13284,-15.583
578,theepochtimes.com,1,-5.0758,-0.68347
579,abc11.com,4,30.386,20.176
580,cloverdalereporter.com,8,0.89646,-41.13
581,russiaherald.com,15,32.829,-1.7937
582,ktbs.com,5,-25.726,-13.331
583,kimberleybulletin.com,8,1.1004,-40.158
584,krvn.com,4,30.570999999999998,18.135
585,wwmt.com,18,9.2012,10.093
586,whtc.com,2,8.9205,-3.8035
587,peacearchnews.com,8,2.0325,-40.596
588,kticradio.com,4,30.408,18.993
589,kios.org,20,35.249,-28.459
590,thecourierexpress.com,1,-20.934,7.656000000000001
591,cnbc.com,0,-1.1843,0.17149
592,wsbtradio.com,4,31.174,19.203
593,news12.com,1,-14.875,-3.1638
594,brecorder.com,2,18.21,-8.6462
595,abc3340.com,18,3.9823,12.829
596,indiatoday.intoday.in,3,19.55,-3.1861
597,mapleridgenews.com,8,2.8514,-41.588
598,mrtimes.com,8,0.26003000000000004,-40.805
599,wset.com,18,5.7429,11.735999999999999
600,zawya.com,2,8.9811,-6.7615
601,vicnews.com,8,2.4056,-41.613
602,ketr.org,20,32.891999999999996,-30.384
603,abc7amarillo.com,18,5.3291,12.318
